tick,lastPrice,best_ValueInvestor,worst_ValueInvestor,avg_ValueInvestor,best_TrendFollower,worst_TrendFollower,avg_TrendFollower,best_StopLoss,worst_StopLoss,avg_StopLoss,best_MarketMaker,worst_MarketMaker,avg_MarketMaker,best_Noise,worst_Noise,avg_Noise
162,4.22912,546.05,521.146,526.929,532.492,521.146,522.857,529.147,521.146,525.542,533.797,520.105,525.728,586.359,358.744,504.671
163,4.27815,545.559,521.391,527.013,532.198,521.391,523.028,529.147,521.286,525.613,533.797,520.105,525.826,586.359,361.196,505.474
164,4.10992,547.242,520.55,526.724,533.208,520.55,522.444,529.147,520.55,525.371,533.797,520.105,525.489,586.359,352.784,502.72
165,4.14876,546.853,520.744,526.791,532.975,520.744,522.579,529.147,520.744,525.427,533.797,520.105,525.567,586.359,354.727,503.356
166,4.14861,546.855,520.743,526.79,532.975,520.743,522.578,529.147,520.743,525.426,533.797,520.105,525.567,586.359,354.719,503.354
167,3.99511,548.39,519.976,526.526,533.897,519.976,522.045,529.147,519.976,525.205,533.797,519.976,525.26,586.359,347.044,500.841
168,3.98823,548.459,519.941,526.515,533.938,519.941,522.022,529.147,519.941,525.195,533.797,519.941,525.257,586.359,339.001,500.717
169,4.03265,548.015,520.163,526.591,533.671,520.163,522.176,529.147,520.163,525.259,533.797,520.105,525.345,586.359,341.533,501.445
170,4.00188,548.322,520.009,526.538,533.856,520.009,522.069,529.147,520.009,525.215,533.797,520.009,525.284,586.359,339.779,500.941
171,3.8685,549.656,519.343,526.309,534.656,519.343,521.606,529.147,519.343,525.023,533.797,519.343,525.019,586.359,340.145,498.756
172,3.70542,551.287,518.527,526.028,535.635,518.527,521.04,529.147,518.527,524.788,533.797,518.527,524.694,586.359,327.223,496.085
173,3.77337,550.607,518.867,526.145,535.227,518.867,521.276,529.147,518.867,524.886,533.797,518.867,524.829,586.359,333.067,497.198
174,3.74512,550.89,518.726,526.096,535.396,518.726,521.178,529.147,518.726,524.845,533.797,518.726,524.773,586.359,330.637,496.735
175,3.81714,550.17,519.086,526.22,534.964,519.086,521.428,529.147,519.086,524.949,533.797,519.086,524.917,586.359,336.831,497.915
176,3.80919,550.249,519.046,526.207,535.012,519.046,521.4,529.147,519.046,524.938,533.797,519.046,524.901,586.359,336.147,497.784
